,Year,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,HomeScorers,AwayScorers,ExtraTime,Penalty,HomePenaltyScore,AwayPenaltyScore,Stadium,Location,Attendance,Referee
0,1930,13 July 1930,15:00 UYT (UTC−03:30),France,Mexico,4,1,"L. Laurent  19'Langiller  40'Maschinot  43', 87'",Carreño  70',0,0,0,0,Estadio Pocitos, Montevideo,"4,444",Domingo Lombardi (Uruguay)
1,1930,15 July 1930,16:00 UYT (UTC−03:30),Argentina,France,1,0,Monti  81',,0,0,0,0,Estadio Parque Central, Montevideo,"23,409",Almeida Rêgo (Brazil)
2,1930,16 July 1930,14:45 UYT (UTC−03:30),Chile,Mexico,3,0,"Vidal  3', 65'M. Rosas  52' (o.g.)",,0,0,0,0,Estadio Parque Central, Montevideo,"9,249",Henri Christophe (Belgium)
3,1930,19 July 1930,12:50 UYT (UTC−03:30),Chile,France,1,0,Subiabre  67',,0,0,0,0,Estadio Centenario, Montevideo,"2,000",Anibal Tejada (Uruguay)
4,1930,19 July 1930,15:00 UYT (UTC−03:30),Argentina,Mexico,6,3,"Stábile  8', 17', 80'Zumelzú  12', 55'Varallo  53'","M. Rosas  42' (pen.), 65'Gayón  75'",0,0,0,0,Estadio Centenario, Montevideo,"42,100",Ulises Saucedo (Bolivia)
5,1930,22 July 1930,14:45 UYT (UTC−03:30),Argentina,Chile,3,1,"Stábile  12', 13'M. Evaristo  51'",Subiabre  15',0,0,0,0,Estadio Centenario, Montevideo,"41,459",John Langenus (Belgium)
6,1930,14 July 1930,12:45 UYT (UTC−03:30),Yugoslavia,Brazil,2,1,Tirnanić  21'Bek  30',Preguinho  62',0,0,0,0,Estadio Parque Central, Montevideo,"24,059",Aníbal Tejada (Uruguay)
7,1930,17 July 1930,12:45 UYT (UTC−03:30),Yugoslavia,Bolivia,4,0,"Bek  60', 67'Marjanović  65'Vujadinović  85'",,0,0,0,0,Estadio Parque Central, Montevideo,"18,306",Francisco Mateucci (Uruguay)
8,1930,20 July 1930,13:00 UYT (UTC−03:30),Brazil,Bolivia,4,0,"Moderato  37', 73'Preguinho  57', 83'",,0,0,0,0,Estadio Centenario, Montevideo,"25,466",Thomas Balvay (France)
9,1930,14 July 1930,14:50 UYT (UTC−03:30),Romania,Peru,3,1,Deşu  1'Stanciu  79'Kovács  89',De Souza  75',0,0,0,0,Estadio Pocitos, Montevideo,"2,549",Alberto Warnken (Chile)
10,1930,18 July 1930,14:30 UYT (UTC−03:30),Uruguay,Peru,1,0,Castro  65',,0,0,0,0,Estadio Centenario, Montevideo,"57,735",John Langenus (Belgium)
11,1930,21 July 1930,14:50 UYT (UTC−03:30),Uruguay,Romania,4,0,Dorado  7'Scarone  26'Anselmo  31'Cea  35',,0,0,0,0,Estadio Centenario, Montevideo,"70,022",Almeida Rêgo (Brazil)
